序号,大系统,子系统,点名,点描述
1,TURBINE,N3DCS_TLDC,N2DCS.2FWCFWFX07AI,给水流量B
2,TURBINE,N3DCS_TLDC,N2DCS.2FWCFWFX06AI,给水流量A
3,TURBINE,N3DCS_TLDC,N2DCS.2DASFWPX01AI,省煤器入口给水压力
4,TURBINE,N3DCS_TLDC,N2DCS.2RIOFWTE36AI,#8高加出口温度
5,TURBINE,N3DCS_TLDC,N2DCS.2RIOFWTE35AI,#7高加出口温度
6,TURBINE,N3DCS_TLDC,N2DCS.2RIOFWTE32AI,#6加热器出口温度
7,TURBINE,N3DCS_TLDC,N2DCS.2RIOFWTE31AI,#6加热器入口温度
8,TURBINE,N3DCS_TLDC,N2DCS.2EST505,高加出口电动门
9,TURBINE,N3DCS_TLDC,N2DCS.2EST506,高加旁路电动门
10,TURBINE,N3DCS_TLDC,N2DCS.2EST504,高加入口电动门
11,TURBINE,N3DCS_TLDC,N2DCS.2EST503,#8抽汽电动门
12,TURBINE,N3DCS_TDEH,N2DCS.2DASEXPX08AI,#8抽汽压力
13,TURBINE,N3DCS_TDEH,N2DCS.2RIOEXTE08AI,#8抽汽加热器侧温度
14,TURBINE,N3DCS_TDEH,N2DCS.2RIOHDTE08AI,#8高加疏水温度
15,TURBINE,N3DCS_TDEH,N2DCS.2EST502,#7抽汽电动门
16,TURBINE,N3DCS_TDEH,N2DCS.2DASEXPX07AI,#7抽汽压力
17,TURBINE,N3DCS_TDEH,N2DCS.2RIOEXTE07AI,#7抽汽加热器侧温度
18,TURBINE,N3DCS_TDEH,N2DCS.2RIOHDTE07AI,#7加热器疏水温度
19,TURBINE,N3DCS_TDEH,N2DCS.2EST501,#6抽汽电动门
20,TURBINE,N3DCS_TDEH,N2DCS.2DASEXPX06AI,#6抽汽压力
21,TURBINE,N3DCS_TDEH,N2DCS.2RIOEXTE06AI,#6抽汽温度
22,TURBINE,N3DCS_TDEH,N2DCS.2RIOHDTE06AI,#6加热器疏水温度
23,TURBINE,N3DCS_TDEH,N2DCS.2FWCFWPX05AI,汽动给水泵 给水压力
24,TURBINE,N3DCS_TDEH,N2DCS.2EST410,#5抽至除氧器电动门
25,TURBINE,N3DCS_TDEH,N2DCS.2RIOEXTE05AI,#5抽汽温度
26,TURBINE,N3DCS_TDEH,N2DCS.2APCEXPX05AI,#5抽汽压力
27,TURBINE,N3DCS_TDEH,N2DCS.2DASFPFX02AI,小机低压供汽流量
28,TURBINE,N3DCS_TDEH,N2DCS.2FWT860A,A小机低压汽源电动门
29,TURBINE,N3DCS_TDEH,N2DCS.2FWT860B,B小机低压汽源电动门
30,TURBINE,N3DCS_TDEH,N2DCS.2APCMAINSTMF,主汽流量
31,TURBINE,N3DCS_TSEALOS,N2DCS.2RIOMTTE12AI,主蒸汽温度（机入口）
32,TURBINE,N3DCS_TSEALOS,N2DCS.2APCMSPX01AI,主蒸汽压力
33,TURBINE,N3DCS_TSEALOS,N2DCS.2RIOCRTE01AI,冷再热器蒸汽温度（机出口）
34,TURBINE,N3DCS_TSEALOS,N2DCS.2APCCRPX01AI,低温再热汽压力
35,TURBINE,N3DCS_TSEALOS,N2DCS.2RIOCRTE02AI,热再热器蒸汽温度（机出口）
36,TURBINE,N3DCS_TSEALOS,N2DCS.2DASRHPX01AI,热再蒸汽压力
37,TURBINE,N3DCS_TSEALOS,N2DCS.2APCCDFX01AI,凝结水流量
38,TURBINE,N3DCS_TSEALOS,N2DCS.2DASFWPX02AI,除氧器压力
39,TURBINE,N3DCS_TSEALOS,N2DCS.2RIOFWTE37AI,除氧器箱温度
40,TURBINE,N3DCS_TSEALOS,N2DCS.2SEQFWLX01AI,除氧器水位
41,TURBINE,N3DCS_TSEALOS,N2DCS.2APCCDLX02AI,除氧器水位
42,TURBINE,N3DCS_TWATEDT,N2DCS.2FWT858A,A汽泵入口电动门
43,TURBINE,N3DCS_TWATEDT,N2DCS.2FWT858B,B汽泵入口电动门
44,TURBINE,N3DCS_TWATEDT,N2DCS.2FWT803,电泵入口电动门
45,TURBINE,N3DCS_TWATEDT,N2DCS.2RIOFPPX01AI,A给水前置泵进口压力
46,TURBINE,N3DCS_TWATEDT,N2DCS.2RIOFPPX02AI,B给水前置泵进口压力
47,TURBINE,N3DCS_TWATEDT,N2DCS.2RIOFPPX03AI,电动给水前置泵进口水压
48,TURBINE,N3DCS_TWATEDT,N2DCS.2FWCFPFX02AI,A-汽动给水泵 入口流量
49,TURBINE,N3DCS_TWATEDT,N2DCS.2FWCFPFX03AI,B-汽动给水泵 入口流量
50,TURBINE,N3DCS_TWATEDT,N2DCS.2FWCFPFX04AI,电泵入口流量
